"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2019-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Personas que usan Internet (% de la población)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","2.768382663","","","4.506179098","15.44282295","17.1","18.8","20.8","23","25.4","28","30.9","52","58","62","69","74","78.9","83.78","88.66122693","93.54245387","97.17","","",
"Afganistán","AFG","Personas que usan Internet (% de la población)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","0.004722568","0.004561395","0.087891253","0.10580903","1.224148084","2.107123645","1.9","1.84","3.55","4","5","5.454545455","5.9","7","8.26","11.2","13.5","","",
"Angola","AGO","Personas que usan Internet (% de la población)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","0.000775929","0.005673746","0.018453724","0.071964087","0.105045562","0.136013867","0.270376746","0.370682065","0.464814618","1.143366827","1.5","1.7","1.9","2.3","2.8","3.1","6.5","8.9","21.4","12.4","13","14.33907936","","",
"Albania","ALB","Personas que usan Internet (% de la población)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","0.011168695","0.032196828","0.048593919","0.06502737","0.081437045","0.114097347","0.325798377","0.390081273","0.971900415","2.420387798","6.043890864","9.609991316","15.03611541","23.86","41.2","45","49","54.65595904","57.2","60.1","63.2529327","66.3634447","71.8470405","","",
"Andorra","AND","Personas que usan Internet (% de la población)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","1.526601023","3.050175385","6.886209218","7.635686143","10.53883561","","11.26046872","13.54641288","26.83795439","37.60576622","48.936847","70.87","70.04","78.53","81","81","86.43442462","94","95.9","96.91","97.93063712","91.56746703","","",
"El mundo árabe","ARB","Personas que usan Internet (% de la población)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0173020141562221","0.0384612619716022","0.135488159182127","0.270604169151639","0.615844605643569","1.16588724320977","1.59036859126465","2.72740391954483","3.68668240412587","7.08195800918121","8.46430059427144","11.6967073044332","14.2275432517325","18.5970961481042","21.5686671530085","24.9477618371479","26.7538745888753","30.3700753134907","33.1127975750516","36.6238490712225","43.6963348683202","41.487476705116","49.2601279703075","","",
"Emiratos Árabes Unidos","ARE","Personas que usan Internet (% de la población)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","0.102939175","0.375393534","3.295592694","6.908302986","14.94269899","23.62530088","26.2717542","28.31648531","29.47795341","30.13129617","40","52","61","63","64","68","78","84.9999915","88","90.4","90.5","90.60000732","94.81992254","98.45000178","",
"Argentina","ARG","Personas que usan Internet (% de la población)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0.002992874","0.029527065","0.043705951","0.086277081","0.141954704","0.280339882","0.83076668","3.284481956","7.038683086","9.780807285","10.88212438","11.91369655","16.03668411","17.72058337","20.9272021","25.94663294","28.11262348","34","45","51","55.8","59.9","64.7","68.04306411","70.96898082","74.29490687","","",
"Armenia","ARM","Personas que usan Internet (% de la población)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","0.009117014","0.052743123","0.094572902","0.111650935","0.128659478","0.970737757","1.300470022","1.631094667","1.960405046","4.575217225","4.899008571","5.252983352","5.631787777","6.021253397","6.21","15.3","25","32","37.5","41.9","54.62280586","59.10237771","64.34602977","64.74488433","","",
"Samoa Americana","ASM","Personas que usan Internet (% de la población)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
